gene_id	Uniprot	Pfam	Refseq	Nr	Tigrfam	COG	KEGG	Pathway	GO
assembly_00511	Deoxyuridine 5'-triphosphate nucleotidohydrolase`	PF00692.16`dUTPase`dUTPase	WP_024862955.1`dUTP diphosphatase	dUTP diphosphatase [Pediococcus acidilactici]	TIGR00576`dut: dUTP diphosphatase	dUTPase`Nucleotide transport and metabolism`F	assembly_00511`K01520	Pyrimidine metabolism`ko00240	GO:0004170`dUTP diphosphatase activity`molecular_function;GO:0000287`magnesium ion binding`molecular_function;GO:0046080`dUTP metabolic process`biological_process;GO:0006226`dUMP biosynthetic process`biological_process
assembly_01601	Probable phosphoglycerate mutase GpmB`	PF00300.19`His_Phos_1`Histidine phosphatase superfamily (branch 1)	WP_024862584.1`histidine phosphatase family protein	histidine phosphatase family protein [Pediococcus acidilactici]	TIGR03162`ribazole_cobC: alpha-ribazole phosphatase;TIGR00249`sixA: phosphohistidine phosphatase SixA;TIGR03848`MSMEG_4193: probable phosphomutase, MSMEG_4193 family;TIGR01258`pgm_1: phosphoglycerate mutase 1 family	Broad specificity phosphatase PhoE`Carbohydrate transport and metabolism`G	assembly_01601`K15634	Glycine, serine and threonine metabolism`ko00260;Glycolysis / Gluconeogenesis`ko00010;Carbon metabolism`ko01200;Biosynthesis of amino acids`ko01230;Methane metabolism`ko00680	GO:0004619`phosphoglycerate mutase activity`molecular_function;GO:0006096`glycolytic process`biological_process
assembly_00127	PTS system fructose-specific EIIABC component`	PF02302.14`PTS_IIB`PTS system, Lactose/Cellobiose specific IIB subunit;PF02378.15`PTS_EIIC`Phosphotransferase system, EIIC;PF13303.3`PTS_EIIC_2`Phosphotransferase system, EIIC;PF00359.19`PTS_EIIA_2`Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	WP_128688283.1`PTS fructose transporter subunit IIABC	PTS fructose transporter subunit IIABC [Pediococcus acidilactici]	TIGR00829`FRU: PTS system, Fru family, IIB component;TIGR01427`PTS_IIC_fructo: PTS system, Fru family, IIC component;TIGR01419`nitro_reg_IIA: PTS IIA-like nitrogen-regulatory protein PtsN;TIGR00848`fruA: PTS system, fructose subfamily, IIA component	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)`Carbohydrate transport and metabolism`G;Phosphotransferase system, fructose-specific IIC component`Carbohydrate transport and metabolism`G;Phosphotransferase system fructose-specific component IIB`Carbohydrate transport and metabolism`G	-	-	GO:0009401`phosphoenolpyruvate-dependent sugar phosphotransferase system`biological_process;GO:0005886`plasma membrane`cellular_component;GO:0022877`protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity`molecular_function;GO:0016021`integral component of membrane`cellular_component;GO:0005351`sugar:proton symporter activity`molecular_function
assembly_01124	D-lactate/D-glycerate dehydrogenase`	PF02737.15`3HCDH_N`3-hydroxyacyl-CoA dehydrogenase, NAD binding domain;PF00670.18`AdoHcyase_NAD`S-adenosyl-L-homocysteine hydrolase, NAD binding domain;PF02826.16`2-Hacid_dh_C`D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain;PF01262.18`AlaDh_PNT_C`Alanine dehydrogenase/PNT, C-terminal domain;PF03446.12`NAD_binding_2`NAD binding domain of 6-phosphogluconate dehydrogenase;PF00389.27`2-Hacid_dh`D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;PF07991.9`IlvN`Acetohydroxy acid isomeroreductase, NADPH-binding domain	WP_005916747.1`D-2-hydroxyacid dehydrogenase	D-2-hydroxyacid dehydrogenase [Pediococcus acidilactici]	TIGR01327`PGDH: phosphoglycerate dehydrogenase	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase`Energy production and conversion`C	assembly_01124`K03778	Pyruvate metabolism`ko00620	GO:0008465`glycerate dehydrogenase activity`molecular_function;GO:0051287`NAD binding`molecular_function;GO:0008720`D-lactate dehydrogenase activity`molecular_function
assembly_00779	Endonuclease MutS2`	PF05192.15`MutS_III`MutS domain III;PF00488.18`MutS_V`MutS domain V;PF01713.18`Smr`Smr domain	WP_024863044.1`endonuclease MutS2	endonuclease MutS2 [Pediococcus acidilactici]	TIGR01070`mutS1: DNA mismatch repair protein MutS;TIGR01069`mutS2: MutS2 family protein	dsDNA-specific endonuclease/ATPase MutS2`Replication, recombination and repair`L	assembly_00779`K07456	Mismatch repair`ko03430	GO:0005524`ATP binding`molecular_function;GO:0045910`negative regulation of DNA recombination`biological_process;GO:0004519`endonuclease activity`molecular_function;GO:0016887`ATPase activity`molecular_function;GO:0006298`mismatch repair`biological_process;GO:0030983`mismatched DNA binding`molecular_function
assembly_01263	Protein hit`	PF01230.20`HIT`HIT domain;PF11969.5`DcpS_C`Scavenger mRNA decapping enzyme C-term binding	WP_002831352.1`HIT family protein	HIT family protein [Pediococcus acidilactici]	-	Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase`Nucleotide transport and metabolism`F	-	-	GO:0009117`nucleotide metabolic process`biological_process;GO:0003824`catalytic activity`molecular_function
assembly_01318	L-arabinose isomerase`	PF02610.12`Arabinose_Isome`L-arabinose isomerase;PF11762.5`Arabinose_Iso_C`L-arabinose isomerase C-terminal domain	WP_056985208.1`L-arabinose isomerase	L-arabinose isomerase [Pediococcus acidilactici]	-	L-arabinose isomerase`Carbohydrate transport and metabolism`G	assembly_01318`K01804	Pentose and glucuronate interconversions`ko00040	GO:0008733`L-arabinose isomerase activity`molecular_function;GO:0019569`L-arabinose catabolic process to xylulose 5-phosphate`biological_process;GO:0005737`cytoplasm`cellular_component;GO:0030145`manganese ion binding`molecular_function
assembly_01342	-	-	-	-	-	-	-	-	-
assembly_01440	Tyrosine-protein kinase YwqD`	PF01656.20`CbiA`CobQ/CobB/MinD/ParA nucleotide binding domain;PF13614.3`AAA_31`AAA domain;PF09140.8`MipZ`ATPase MipZ;PF02374.12`ArsA_ATPase`Anion-transporting ATPase;PF10609.6`ParA`NUBPL iron-transfer P-loop NTPase;PF06564.9`CBP_BcsQ`Cellulose biosynthesis protein BcsQ	WP_058120747.1`CpsD/CapB family tyrosine-protein kinase	CpsD/CapB family tyrosine-protein kinase [Pediococcus acidilactici]	TIGR03029`EpsG: chain length determinant protein tyrosine kinase EpsG;TIGR01005`eps_transp_fam: exopolysaccharide transport protein family;TIGR01969`minD_arch: cell division ATPase MinD;TIGR01968`minD_bact: septum site-determining protein MinD;TIGR03018`pepcterm_TyrKin: exopolysaccharide/PEP-CTERM locus tyrosine autokinase;TIGR01007`eps_fam: capsular exopolysaccharide family	Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster`Cell cycle control, cell division, chromosome partitioning`D	-	-	GO:0045226`extracellular polysaccharide biosynthetic process`biological_process;GO:0004713`protein tyrosine kinase activity`molecular_function;GO:0004715`non-membrane spanning protein tyrosine kinase activity`molecular_function;GO:0005524`ATP binding`molecular_function;GO:0005886`plasma membrane`cellular_component
assembly_01126	Uncharacterized protein YabB`	PF13847.3`Methyltransf_31`Methyltransferase domain;PF13649.3`Methyltransf_25`Methyltransferase domain;PF10294.6`Methyltransf_16`Lysine methyltransferase;PF13679.3`Methyltransf_32`Methyltransferase domain;PF03602.12`Cons_hypoth95`Conserved hypothetical protein 95;PF10237.6`N6-adenineMlase`Probable N6-adenine methyltransferase;PF05175.11`MTS`Methyltransferase small domain	WP_008840879.1`tRNA1(Val) (adenine(37)-N6)-methyltransferase	tRNA1(Val) (adenine(37)-N6)-methyltransferase [Pediococcus acidilactici]	TIGR00537`hemK_rel_arch: putative methylase;TIGR00536`hemK_fam: methyltransferase, HemK family;TIGR03533`L3_gln_methyl: protein-(glutamine-N5) methyltransferase, ribosomal protein L3-specific;TIGR03534`RF_mod_PrmC: protein-(glutamine-N5) methyltransferase, release factor-specific	tRNA1(Val) A37 N6-methylase TrmN6`Translation, ribosomal structure and biogenesis`J	-	-	GO:0008168`methyltransferase activity`molecular_function
assembly_00277	Non-specific ribonucleoside hydrolase RihC`	PF01156.16`IU_nuc_hydro`Inosine-uridine preferring nucleoside hydrolase	WP_002829518.1`ribonucleoside hydrolase RihC	ribonucleoside hydrolase RihC [Pediococcus acidilactici]	-	Inosine-uridine nucleoside N-ribohydrolase`Nucleotide transport and metabolism`F	-	-	GO:0016798`hydrolase activity, acting on glycosyl bonds`molecular_function;GO:0006144`purine nucleobase metabolic process`biological_process;GO:0006206`pyrimidine nucleobase metabolic process`biological_process
assembly_01636	-	PF01381.19`HTH_3`Helix-turn-helix;PF12844.4`HTH_19`Helix-turn-helix domain;PF13560.3`HTH_31`Helix-turn-helix domain	WP_002830039.1`helix-turn-helix transcriptional regulator	helix-turn-helix transcriptional regulator [Pediococcus acidilactici]	-	-	-	-	-
assembly_01558	HPr kinase/phosphorylase`	PF07085.9`DRTGG`DRTGG domain;PF02603.13`Hpr_kinase_N`HPr Serine kinase N terminus;PF07905.8`PucR`Purine catabolism regulatory protein-like family;PF07475.9`Hpr_kinase_C`HPr Serine kinase C-terminal domain	WP_002829936.1`HPr kinase/phosphorylase	HPr kinase/phosphorylase [Pediococcus acidilactici]	TIGR00679`hpr-ser: HPr(Ser) kinase/phosphatase;TIGR04355`HprK_rel_B: HprK-related kinase B	Serine kinase of the HPr protein, regulates carbohydrate metabolism`Signal transduction mechanisms`T	-	-	GO:0005524`ATP binding`molecular_function;GO:0004674`protein serine/threonine kinase activity`molecular_function;GO:0005975`carbohydrate metabolic process`biological_process;GO:0000287`magnesium ion binding`molecular_function;GO:0000155`phosphorelay sensor kinase activity`molecular_function;GO:0006109`regulation of carbohydrate metabolic process`biological_process;GO:0004712`protein serine/threonine/tyrosine kinase activity`molecular_function
assembly_00981	-	PF14493.3`HTH_40`Helix-turn-helix domain	WP_024862313.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_00231	NADH oxidase`	PF02852.19`Pyr_redox_dim`Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain;PF13450.3`NAD_binding_8`NAD(P)-binding Rossmann-like domain;PF00070.24`Pyr_redox`Pyridine nucleotide-disulphide oxidoreductase;PF13434.3`K_oxygenase`L-lysine 6-monooxygenase (NADPH-requiring);PF03486.11`HI0933_like`HI0933-like protein;PF13738.3`Pyr_redox_3`Pyridine nucleotide-disulphide oxidoreductase;PF01266.21`DAO`FAD dependent oxidoreductase;PF02737.15`3HCDH_N`3-hydroxyacyl-CoA dehydrogenase, NAD binding domain;PF07992.11`Pyr_redox_2`Pyridine nucleotide-disulphide oxidoreductase;PF03721.11`UDPG_MGDP_dh_N`UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	WP_005919780.1`CoA-disulfide reductase cdr	SidA/IucD/PvdA family monooxygenase [Pediococcus acidilactici]	TIGR01438`TGR: thioredoxin and glutathione reductase;TIGR01421`gluta_reduc_1: glutathione-disulfide reductase;TIGR03385`CoA_CoA_reduc: CoA-disulfide reductase;TIGR03140`AhpF: alkyl hydroperoxide reductase subunit F;TIGR00275`TIGR00275: flavoprotein, HI0933 family;TIGR01317`GOGAT_sm_gam: glutamate synthase, NADH/NADPH, small subunit;TIGR03143`AhpF_homolog: putative alkyl hydroperoxide reductase F subunit;TIGR03452`mycothione_red: mycothione reductase;TIGR03169`Nterm_to_SelD: pyridine nucleotide-disulfide oxidoreductase family protein;TIGR01318`gltD_gamma_fam: glutamate synthase, small subunit;TIGR01350`lipoamide_DH: dihydrolipoyl dehydrogenase;TIGR01292`TRX_reduct: thioredoxin-disulfide reductase;TIGR01424`gluta_reduc_2: glutathione-disulfide reductase;TIGR04018`Bthiol_YpdA: putative bacillithiol system oxidoreductase, YpdA family;TIGR01316`gltA: glutamate synthase (NADPH), homotetrameric;TIGR02374`nitri_red_nirB: nitrite reductase [NAD(P)H], large subunit;TIGR02053`MerA: mercury(II) reductase;TIGR01423`trypano_reduc: trypanothione-disulfide reductase	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase`Lipid transport and metabolism`I	-	-	GO:0050660`flavin adenine dinucleotide binding`molecular_function;GO:0045454`cell redox homeostasis`biological_process;GO:0003954`NADH dehydrogenase activity`molecular_function;GO:0005623`cell`cellular_component
assembly_00189	Beta-Ala-Xaa dipeptidase`	PF01546.25`Peptidase_M20`Peptidase family M20/M25/M40;PF07687.11`M20_dimer`Peptidase dimerisation domain	WP_024862684.1`dipeptidase PepV	dipeptidase PepV [Pediococcus acidilactici]	TIGR01246`dapE_proteo: succinyl-diaminopimelate desuccinylase;TIGR01910`DapE-ArgE: peptidase, ArgE/DapE family;TIGR01880`Ac-peptdase-euk: N-acyl-L-amino-acid amidohydrolase;TIGR03526`selenium_YgeY: putative selenium metabolism hydrolase;TIGR01900`dapE-gram_pos: succinyl-diaminopimelate desuccinylase;TIGR01892`AcOrn-deacetyl: acetylornithine deacetylase (ArgE);TIGR01887`dipeptidaselike: putative dipeptidase;TIGR01883`PepT-like: peptidase T-like protein;TIGR01902`dapE-lys-deAc: N-acetyl-ornithine/N-acetyl-lysine deacetylase;TIGR01886`dipeptidase: dipeptidase PepV	-	assembly_00189`K01270	Glutathione metabolism`ko00480	GO:0008237`metallopeptidase activity`molecular_function;GO:0005737`cytoplasm`cellular_component;GO:0016805`dipeptidase activity`molecular_function;GO:0008270`zinc ion binding`molecular_function
assembly_00463	Uncharacterized protein SP_0007`	PF01479.22`S4`S4 domain;PF13275.3`S4_2`S4 domain	WP_024862932.1`RNA-binding S4 domain-containing protein	RNA-binding S4 domain-containing protein [Pediococcus acidilactici]	-	Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain`Translation, ribosomal structure and biogenesis`J	-	-	GO:0003723`RNA binding`molecular_function
assembly_01111	Probable ribosomal protein in infB 5'region`	PF01248.23`Ribosomal_L7Ae`Ribosomal protein L7Ae/L30e/S12e/Gadd45 family	WP_002831553.1`50S ribosomal protein L7ae	50S ribosomal protein L7ae [Pediococcus acidilactici]	-	-	-	-	GO:0005840`ribosome`cellular_component;GO:0003723`RNA binding`molecular_function
assembly_01512	Fructose permease IIC component`	PF03609.11`EII-Sor`PTS system sorbose-specific iic component	WP_002829885.1`PTS sugar transporter subunit IIC	PTS sugar transporter subunit IIC [Pediococcus acidilactici]	TIGR00822`EII-Sor: PTS system, mannose/fructose/sorbose family, IIC component	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIC`Carbohydrate transport and metabolism`G	assembly_01512`K19508	Phosphotransferase system (PTS)`ko02060	GO:0005887`integral component of plasma membrane`cellular_component;GO:0009401`phosphoenolpyruvate-dependent sugar phosphotransferase system`biological_process
assembly_01599	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase`	PF00300.19`His_Phos_1`Histidine phosphatase superfamily (branch 1)	WP_008842017.1`histidine phosphatase family protein	histidine phosphatase family protein [Pediococcus acidilactici]	TIGR01258`pgm_1: phosphoglycerate mutase 1 family;TIGR03162`ribazole_cobC: alpha-ribazole phosphatase;TIGR03848`MSMEG_4193: probable phosphomutase, MSMEG_4193 family;TIGR00249`sixA: phosphohistidine phosphatase SixA	Phosphoglycerate mutase (BPG-dependent)`Carbohydrate transport and metabolism`G	assembly_01599`K15634	Methane metabolism`ko00680;Glycolysis / Gluconeogenesis`ko00010;Carbon metabolism`ko01200;Biosynthesis of amino acids`ko01230;Glycine, serine and threonine metabolism`ko00260	GO:0006094`gluconeogenesis`biological_process;GO:0006096`glycolytic process`biological_process;GO:0046538`2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity`molecular_function
assembly_00918	-	PF09976.6`TPR_21`Tetratricopeptide repeat-like domain;PF06486.8`DUF1093`Protein of unknown function (DUF1093);PF10694.6`DUF2500`Protein of unknown function (DUF2500)	WP_024863098.1`DUF1093 domain-containing protein	DUF1093 domain-containing protein [Pediococcus acidilactici]	TIGR01655`yxeA_fam: conserved hypothetical protein	-	-	-	-
assembly_00693	-	-	WP_002832164.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_00226	Uncharacterized HTH-type transcriptional regulator YbgA`	PF08279.9`HTH_11`HTH domain;PF07702.10`UTRA`UTRA domain;PF00392.18`GntR`Bacterial regulatory proteins, gntR family;PF08461.7`HTH_12`Ribonuclease R winged-helix domain;PF08220.9`HTH_DeoR`DeoR-like helix-turn-helix domain	WP_005919788.1`GntR family transcriptional regulator	GntR family transcriptional regulator [Pediococcus acidilactici]	TIGR02018`his_ut_repres: histidine utilization repressor;TIGR03337`phnR: phosphonate utilization transcriptional regulator PhnR;TIGR02325`C_P_lyase_phnF: phosphonate metabolism transcriptional regulator PhnF;TIGR02404`trehalos_R_Bsub: trehalose operon repressor	-	-	-	GO:0003677`DNA binding`molecular_function;GO:0003700`transcription factor activity, sequence-specific DNA binding`molecular_function;GO:0045892`negative regulation of transcription, DNA-templated`biological_process
assembly_01064	-	-	WP_008840924.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_01534	SsrA-binding protein`	PF01668.15`SmpB`SmpB protein	WP_002829908.1`SsrA-binding protein SmpB	SsrA-binding protein SmpB [Pediococcus acidilactici]	TIGR00086`smpB: SsrA-binding protein	tmRNA-binding protein`Posttranslational modification, protein turnover, chaperones`O	-	-	GO:0070929`trans-translation`biological_process;GO:0005737`cytoplasm`cellular_component;GO:0003723`RNA binding`molecular_function
assembly_01266	3'-5' exoribonuclease YhaM`	PF07514.8`TraI_2`Putative helicase;PF01336.22`tRNA_anti-codon`OB-fold nucleic acid binding domain;PF01966.19`HD`HD domain	WP_008841437.1`HD domain-containing protein	HD domain-containing protein [Pediococcus acidilactici]	TIGR00277`HDIG: HDIG domain;TIGR03760`ICE_TraI_Pfluor: integrating conjugative element relaxase, PFGI-1 class	-	-	-	GO:0000175`3'-5'-exoribonuclease activity`molecular_function
assembly_00064	-	-	WP_024862745.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_00449	-	-	WP_005918987.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_01353	Lipid II flippase MurJ`	PF01554.15`MatE`MatE;PF14667.3`Polysacc_synt_C`Polysaccharide biosynthesis C-terminal domain;PF01943.14`Polysacc_synt`Polysaccharide biosynthesis protein	WP_002830674.1`polysaccharide biosynthesis protein	polysaccharide biosynthesis protein [Pediococcus acidilactici]	TIGR02900`spore_V_B: stage V sporulation protein B;TIGR00797`matE: MATE efflux family protein	Membrane protein involved in the export of O-antigen and teichoic acid`Cell wall/membrane/envelope biogenesis`M	-	-	GO:0071555`cell wall organization`biological_process;GO:0007049`cell cycle`biological_process;GO:0016021`integral component of membrane`cellular_component;GO:0005886`plasma membrane`cellular_component;GO:0051301`cell division`biological_process;GO:0008360`regulation of cell shape`biological_process;GO:0009252`peptidoglycan biosynthetic process`biological_process
assembly_00966	RNA polymerase sigma factor SigA`	PF04542.11`Sigma70_r2`Sigma-70 region 2;PF00140.17`Sigma70_r1_2`Sigma-70 factor, region 1.2;PF03979.11`Sigma70_r1_1`Sigma-70 factor, region 1.1;PF04545.13`Sigma70_r4`Sigma-70, region 4;PF04539.13`Sigma70_r3`Sigma-70 region 3	WP_002830329.1`RNA polymerase sigma factor RpoD	RNA polymerase sigma factor RpoD [Pediococcus acidilactici]	TIGR02952`Sig70_famx2: RNA polymerase sigma-70 factor, TIGR02952 family;TIGR02394`rpoS_proteo: RNA polymerase sigma factor RpoS;TIGR02479`FliA_WhiG: RNA polymerase sigma factor, FliA/WhiG family;TIGR02859`spore_sigH: RNA polymerase sigma-H factor;TIGR02835`spore_sigmaE: RNA polymerase sigma-E factor;TIGR02980`SigBFG: RNA polymerase sigma-70 factor, sigma-B/F/G subfamily;TIGR02941`Sigma_B: RNA polymerase sigma-B factor;TIGR02885`spore_sigF: RNA polymerase sigma-F factor;TIGR02392`rpoH_proteo: alternative sigma factor RpoH;TIGR02937`sigma70-ECF: RNA polymerase sigma factor, sigma-70 family;TIGR02846`spore_sigmaK: RNA polymerase sigma-K factor;TIGR02393`RpoD_Cterm: RNA polymerase sigma factor RpoD;TIGR02997`Sig70-cyanoRpoD: RNA polymerase sigma factor, cyanobacterial RpoD-like family;TIGR02850`spore_sigG: RNA polymerase sigma-G factor	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)`Transcription`K	assembly_00966`K03086	-	GO:0005737`cytoplasm`cellular_component;GO:0001123`transcription initiation from bacterial-type RNA polymerase promoter`biological_process;GO:0003677`DNA binding`molecular_function;GO:0016987`sigma factor activity`molecular_function;GO:0003700`transcription factor activity, sequence-specific DNA binding`molecular_function
assembly_01790	-	PF05656.11`DUF805`Protein of unknown function (DUF805)	WP_008841496.1`DUF805 domain-containing protein	DUF805 domain-containing protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_00711	ATP synthase subunit b`	PF00430.15`ATP-synt_B`ATP synthase B/B' CF(0);PF02108.13`FliH`Flagellar assembly protein FliH;PF05405.11`Mt_ATP-synt_B`Mitochondrial ATP synthase B chain precursor (ATP-synt_B);PF12128.5`DUF3584`Protein of unknown function (DUF3584);PF03938.11`OmpH`Outer membrane protein (OmpH-like);PF02326.12`YMF19`Plant ATP synthase F0	WP_002832142.1`F0F1 ATP synthase subunit B	F0F1 ATP synthase subunit B [Pediococcus acidilactici]	TIGR01144`ATP_synt_b: ATP synthase F0, B subunit;TIGR03321`alt_F1F0_F0_B: alternate F1F0 ATPase, F0 subunit B	FoF1-type ATP synthase, membrane subunit b or b'`Energy production and conversion`C	assembly_00711`K02109	Oxidative phosphorylation`ko00190;Photosynthesis`ko00195	GO:0005886`plasma membrane`cellular_component;GO:0016021`integral component of membrane`cellular_component;GO:0015986`ATP synthesis coupled proton transport`biological_process;GO:0046933`proton-transporting ATP synthase activity, rotational mechanism`molecular_function;GO:0045263`proton-transporting ATP synthase complex, coupling factor F(o)`cellular_component
assembly_00538	Cyclic di-AMP receptor A`	PF06153.8`CdAMP_rec`Cyclic-di-AMP receptor	WP_002832332.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	Uncharacterized protein YaaQ`Function unknown`S	-	-	-
assembly_00847	Phospho-N-acetylmuramoyl-pentapeptide-transferase`	PF00953.18`Glycos_transf_4`Glycosyl transferase family 4;PF10555.6`MraY_sig1`Phospho-N-acetylmuramoyl-pentapeptide-transferase signature 1	WP_005918608.1`phospho-N-acetylmuramoyl-pentapeptide-transferase	phospho-N-acetylmuramoyl-pentapeptide-transferase [Pediococcus acidilactici]	TIGR00445`mraY: phospho-N-acetylmuramoyl-pentapeptide-transferase;TIGR02380`ECA_wecA: undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase`Cell wall/membrane/envelope biogenesis`M	assembly_00847`K01000	Vancomycin resistance`ko01502;Peptidoglycan biosynthesis`ko00550	GO:0008963`phospho-N-acetylmuramoyl-pentapeptide-transferase activity`molecular_function;GO:0051992`UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity`molecular_function;GO:0071555`cell wall organization`biological_process;GO:0007049`cell cycle`biological_process;GO:0008360`regulation of cell shape`biological_process;GO:0051301`cell division`biological_process;GO:0016021`integral component of membrane`cellular_component;GO:0009252`peptidoglycan biosynthetic process`biological_process;GO:0005886`plasma membrane`cellular_component
assembly_01488	UPF0051 protein SERP0500`	PF01458.14`UPF0051`Uncharacterized protein family (UPF0051)	WP_005919512.1`Fe-S cluster assembly protein SufB	Fe-S cluster assembly protein SufB [Pediococcus acidilactici]	TIGR01980`sufB: FeS assembly protein SufB;TIGR01981`sufD: FeS assembly protein SufD	Fe-S cluster assembly scaffold protein SufB`Posttranslational modification, protein turnover, chaperones`O	-	-	GO:0016226`iron-sulfur cluster assembly`biological_process
assembly_00639	-	PF15983.2`DUF4767`Domain of unknown function (DUF4767)	WP_024862992.1`DUF4767 domain-containing protein	DUF4767 domain-containing protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_00503	Biotin carboxyl carrier protein of acetyl-CoA carboxylase`	PF01597.16`GCV_H`Glycine cleavage H-protein;PF13533.3`Biotin_lipoyl_2`Biotin-lipoyl like;PF13437.3`HlyD_3`HlyD family secretion protein;PF16576.2`HlyD_D23`Barrel-sandwich domain of CusB or HlyD membrane-fusion;PF13375.3`RnfC_N`RnfC Barrel sandwich hybrid domain;PF00364.19`Biotin_lipoyl`Biotin-requiring enzyme	WP_005921585.1`acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit [Pediococcus acidilactici]	TIGR01235`pyruv_carbox: pyruvate carboxylase;TIGR02712`urea_carbox: urea carboxylase;TIGR00531`BCCP: acetyl-CoA carboxylase, biotin carboxyl carrier protein;TIGR01730`RND_mfp: efflux transporter, RND family, MFP subunit;TIGR01108`oadA: oxaloacetate decarboxylase alpha subunit	Biotin carboxyl carrier protein`Coenzyme transport and metabolism`H	assembly_00503`K02160	Tetracycline biosynthesis`ko00253;Carbon fixation pathways in prokaryotes`ko00720;Pyruvate metabolism`ko00620;Propanoate metabolism`ko00640;Fatty acid biosynthesis`ko00061;Fatty acid metabolism`ko01212;Carbon metabolism`ko01200	GO:0009317`acetyl-CoA carboxylase complex`cellular_component;GO:0003989`acetyl-CoA carboxylase activity`molecular_function;GO:0006633`fatty acid biosynthetic process`biological_process
assembly_00775	Alanine--tRNA ligase`	PF02272.16`DHHA1`DHHA1 domain;PF01411.16`tRNA-synt_2c`tRNA synthetases class II (A);PF07973.11`tRNA_SAD`Threonyl and Alanyl tRNA synthetase second additional domain	WP_024863043.1`alanine--tRNA ligase	alanine--tRNA ligase [Pediococcus acidilactici]	TIGR03683`A-tRNA_syn_arch: alanine--tRNA ligase;TIGR00344`alaS: alanine--tRNA ligase	Alanyl-tRNA synthetase`Translation, ribosomal structure and biogenesis`J	assembly_00775`K01872	Aminoacyl-tRNA biosynthesis`ko00970	GO:0000049`tRNA binding`molecular_function;GO:0005524`ATP binding`molecular_function;GO:0008270`zinc ion binding`molecular_function;GO:0004813`alanine-tRNA ligase activity`molecular_function;GO:0005737`cytoplasm`cellular_component;GO:0006419`alanyl-tRNA aminoacylation`biological_process
assembly_01637	-	-	WP_024862605.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_00261	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase`	PF03641.11`Lysine_decarbox`Possible lysine decarboxylase	WP_008841954.1`TIGR00730 family Rossman fold protein	TIGR00730 family Rossman fold protein [Pediococcus acidilactici]	TIGR00730`TIGR00730: TIGR00730 family protein;TIGR00725`TIGR00725: TIGR00725 family protein	Predicted Rossmann fold nucleotide-binding protein`General function prediction only`R	assembly_00261`K06966	-	GO:0016799`hydrolase activity, hydrolyzing N-glycosyl compounds`molecular_function;GO:0005829`cytosol`cellular_component;GO:0009691`cytokinin biosynthetic process`biological_process
