Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Mass	EC number	Pathway	Function [CC]	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (molecular function)	Subcellular location [CC]
F9ULB8	F9ULB8_LACPL	Lipase/esterase	lp_3562	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	278	lp_3562	30867						aminopeptidase activity [GO:0004177]	GO:0004177	aminopeptidase activity [GO:0004177]	
F9ULB9	F9ULB9_LACPL	Sodium-coupled N-acetylneuraminate transporter	lp_3563	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	502	lp_3563	54182					membrane [GO:0016020]	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857	transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9ULC0	F9ULC0_LACPL	Na(+)/H(+) antiporter	napA4 lp_3565	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	398	lp_3565	42368				proton transmembrane transport [GO:1902600]	membrane [GO:0016020]	membrane [GO:0016020]; antiporter activity [GO:0015297]; proton transmembrane transport [GO:1902600]	GO:0015297; GO:0016020; GO:1902600	antiporter activity [GO:0015297]	
F9ULC1	F9ULC1_LACPL	N-acetylglucosamine 2-epimerase (EC 5.1.3.8)	lp_3566	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	243	lp_3566	26985	5.1.3.8					N-acylglucosamine 2-epimerase activity [GO:0050121]	GO:0050121	N-acylglucosamine 2-epimerase activity [GO:0050121]	
F9ULC2	F9ULC2_LACPL	Bifunctional protein: N-acetyl mannosamine kinase, ROK family transcription regulator (EC 2.7.1.60)	nanK lp_3567	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	287	lp_3567	30373	2.7.1.60					N-acylmannosamine kinase activity [GO:0009384]	GO:0009384	N-acylmannosamine kinase activity [GO:0009384]	
F9ULC4	F9ULC4_LACPL	Transposase	lp_3569	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	143	lp_3569	16164				DNA transposition [GO:0006313]	membrane [GO:0016020]	membrane [GO:0016020]; DNA binding [GO:0003677]; transposase activity [GO:0004803]; DNA transposition [GO:0006313]	GO:0003677; GO:0004803; GO:0006313; GO:0016020	DNA binding [GO:0003677]; transposase activity [GO:0004803]	
F9ULC5	F9ULC5_LACPL	Transposase	lp_3570	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	136	lp_3570	16182									
F9ULC7	F9ULC7_LACPL	FAD-dependent pyridine nucleotide-disulphide oxidoreductase (EC 1.-.-.-)	lp_3572	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	401	lp_3572	44453	1.-.-.-					flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]	GO:0016491; GO:0050660	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]	
F9ULC8	F9ULC8_LACPL	Pyrimidine dimer DNA glycosylase	lp_3573	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	123	lp_3573	14506									
F9ULC9	F9ULC9_LACPL	Ovule protein	lp_3574	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	64	lp_3574	7302									
F9ULD0	F9ULD0_LACPL	Hypothetical membrane protein	lp_3575	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	182	lp_3575	20611					membrane [GO:0016020]	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857	transmembrane transporter activity [GO:0022857]	
F9ULD1	F9ULD1_LACPL	Uncharacterized protein	lp_3576	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	44	lp_3576	4579									
F9ULD2	F9ULD2_LACPL	Hypothetical membrane protein	lp_3577	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	81	lp_3577	8241					plasma membrane [GO:0005886]	plasma membrane [GO:0005886]	GO:0005886		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9ULD4	F9ULD4_LACPL	RNA polymerase (RNAP)-binding regulatory protein, arsenate reductase (ArsC) family, Spx subfamily	spx5 lp_3579	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	145	lp_3579	16741									
F9ULD5	F9ULD5_LACPL	Two-component system response regulator accesory gene regulator protein A	lamA lp_3580	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	247	lp_3580	28626						DNA binding [GO:0003677]; phosphorelay response regulator activity [GO:0000156]	GO:0000156; GO:0003677	DNA binding [GO:0003677]; phosphorelay response regulator activity [GO:0000156]	
F9ULD6	F9ULD6_LACPL	Two-component system histidine protein kinase sensor protein (EC 2.7.3.-)	lamC lp_3581	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	419	lp_3581	48761	2.7.3.-			phosphorylation [GO:0016310]	membrane [GO:0016020]	membrane [GO:0016020]; kinase activity [GO:0016301]; phosphorylation [GO:0016310]	GO:0016020; GO:0016301; GO:0016310	kinase activity [GO:0016301]	
F9ULD7	F9ULD7_LACPL	Auto-inducing peptide (AIP)	lamD lp_3581a	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	40		4748									
F9ULD9	F9ULD9_LACPL	ATP-dependent Clp protease, ATP-binding subunit ClpL	clpL lp_3583	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	704	lp_3583	77776				proteolysis [GO:0006508]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]; proteolysis [GO:0006508]	GO:0005524; GO:0006508; GO:0008233; GO:0016887	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]	
F9ULE1	F9ULE1_LACPL	Pyruvate oxidase (EC 1.2.3.3)	pox4 lp_3587	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	584	lp_3587	63795	1.2.3.3					magnesium ion binding [GO:0000287]; pyruvate oxidase activity [GO:0047112]; thiamine pyrophosphate binding [GO:0030976]	GO:0000287; GO:0030976; GO:0047112	magnesium ion binding [GO:0000287]; pyruvate oxidase activity [GO:0047112]; thiamine pyrophosphate binding [GO:0030976]	
F9ULE4	F9ULE4_LACPL	DUF1694 domain-containing protein	lp_3590	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	136	lp_3590	15636									
F9ULE5	F9ULE5_LACPL	Hypothetical membrane protein	lp_3591	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	229	lp_3591	26055					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9ULF0	F9ULF0_LACPL	Beta-rhamnose transporter, major facilitator superfamily (MFS)	rhaT lp_3596	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	442	lp_3596	47791					plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857	transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9ULF1	F9ULF1_LACPL	Transcription regulator, AraC family, GlcNAc-like induced	rhaR lp_3597	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	324	lp_3597	37956				DNA-templated transcription [GO:0006351]		DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; DNA-templated transcription [GO:0006351]	GO:0003700; GO:0006351; GO:0043565	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	
F9ULF2	F9ULF2_LACPL	Transcription regulator, DeoR family	lp_3598	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	259	lp_3598	29167				DNA-templated transcription [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription [GO:0006351]	GO:0003677; GO:0003700; GO:0006351	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
F9ULF3	F9ULF3_LACPL	PTS system, galactitol-specific EIIA component (EC 2.7.1.69)	pts36A lp_3599	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	153	lp_3599	17628	2.7.1.69					D-glucosamine PTS permease activity [GO:0103111]	GO:0103111	D-glucosamine PTS permease activity [GO:0103111]	
F9ULF4	F9ULF4_LACPL	PTS system, galactitol-specific EIIB component (EC 2.7.1.69)	pts36B lp_3600	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	103	lp_3600	11414	2.7.1.69			phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]		D-glucosamine PTS permease activity [GO:0103111]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	GO:0008982; GO:0009401; GO:0103111	D-glucosamine PTS permease activity [GO:0103111]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]	
F9ULF6	F9ULF6_LACPL	Uncharacterized protein	lp_3602	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	92	lp_3602	10758									
F9ULF7	F9ULF7_LACPL	Sugar-phosphate aldolase (EC 4.1.2.-)	lp_3603	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	240	lp_3603	26734	4.1.2.-					lyase activity [GO:0016829]	GO:0016829	lyase activity [GO:0016829]	
F9ULF8	F9ULF8_LACPL	Myo-inositol (And similar sugars) transporter,major facilitator superfamily (MFS)	iolT1 lp_3604	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	470	lp_3604	50782					plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857	transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9ULF9	F9ULF9_LACPL	Myo-inositol 2-dehydrogenase-like (Promiscuous) (EC 1.1.1.-)	lp_3605	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	345	lp_3605	38099	1.1.1.-					nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]	GO:0000166; GO:0016491	nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]	
F9ULG2	F9ULG2_LACPL	Myo-inositol 2-dehydrogenase-like (Promiscuous) (EC 1.1.1.-)	lp_3608	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	342	lp_3608	38190	1.1.1.-					nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]	GO:0000166; GO:0016491	nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]	
F9ULG3	F9ULG3_LACPL	Myo-inositol (And similar sugars) transporter,major facilitator superfamily (MFS)	iolT2 lp_3611	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	488	lp_3611	53511					plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857	transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9ULG4	F9ULG4_LACPL	Myo-inositol 2-dehydrogenase-like (Promiscuous) (EC 1.1.1.-)	lp_3612	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	341	lp_3612	38380	1.1.1.-					nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]	GO:0000166; GO:0016491	nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]	
F9ULG6	F9ULG6_LACPL	Oxidoreductase, medium chain dehydrogenase/reductase family (MDR) (EC 1.-.-.-)	lp_3614	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	310	lp_3614	33416	1.-.-.-					oxidoreductase activity [GO:0016491]	GO:0016491	oxidoreductase activity [GO:0016491]	
F9ULG7	F9ULG7_LACPL	Inosine-uridine nucleoside N-ribohydrolase (EC 3.2.2.1)	lp_3615	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	311	lp_3615	34020	3.2.2.1			nucleobase-containing compound metabolic process [GO:0006139]; organonitrogen compound metabolic process [GO:1901564]		purine nucleosidase activity [GO:0008477]; uridine nucleosidase activity [GO:0045437]; nucleobase-containing compound metabolic process [GO:0006139]; organonitrogen compound metabolic process [GO:1901564]	GO:0006139; GO:0008477; GO:0045437; GO:1901564	purine nucleosidase activity [GO:0008477]; uridine nucleosidase activity [GO:0045437]	
F9ULG8	F9ULG8_LACPL	Transaldolase (EC 2.2.1.2)	tal3 lp_3617	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	229	lp_3617	25160	2.2.1.2			carbohydrate metabolic process [GO:0005975]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; aldehyde-lyase activity [GO:0016832]; transaldolase activity [GO:0004801]; carbohydrate metabolic process [GO:0005975]	GO:0004801; GO:0005737; GO:0005975; GO:0016832	aldehyde-lyase activity [GO:0016832]; transaldolase activity [GO:0004801]	
F9ULG9	F9ULG9_LACPL	PTS system, glucitol/sorbitol-specific EIIA component (EC 2.7.1.69)	pts37A lp_3618	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	124	lp_3618	13622	2.7.1.69			phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; D-glucosamine PTS permease activity [GO:0103111]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	GO:0005737; GO:0008982; GO:0009401; GO:0103111	D-glucosamine PTS permease activity [GO:0103111]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]	
F9ULH1	F9ULH1_LACPL	PTS system, glucitol/sorbitol-specific EIIC component (EC 2.7.1.69)	pts37C lp_3620	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	188	lp_3620	20786	2.7.1.69			phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	membrane [GO:0016020]	membrane [GO:0016020]; D-glucosamine PTS permease activity [GO:0103111]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	GO:0009401; GO:0016020; GO:0103111	D-glucosamine PTS permease activity [GO:0103111]	
F9ULH2	F9ULH2_LACPL	Sorbitol operon activator	srlM1 lp_3621	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	171	lp_3621	19752									
F9ULH3	F9ULH3_LACPL	Sorbitol operon transcription antiterminator,BglG family	srlR1 lp_3622	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	618	lp_3622	71938				regulation of DNA-templated transcription [GO:0006355]		regulation of DNA-templated transcription [GO:0006355]	GO:0006355		
F9ULH4	F9ULH4_LACPL	Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140)	srlD1 lp_3623	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	267	lp_3623	28832	1.1.1.140					sorbitol-6-phosphate 2-dehydrogenase activity [GO:0009010]	GO:0009010	sorbitol-6-phosphate 2-dehydrogenase activity [GO:0009010]	
F9ULH5	F9ULH5_LACPL	Transcription regulator, LacI family	lp_3625	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	335	lp_3625	36631				regulation of DNA-templated transcription [GO:0006355]		DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355]	GO:0003677; GO:0006355	DNA binding [GO:0003677]	
F9ULH6	F9ULH6_LACPL	Maltose-isomaltose oligosaccharide proton symporter, GPH family	lp_3626	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	461	lp_3626	50682					plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857	transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.
F9ULH8	F9ULH8_LACPL	Beta-galactosidase (EC 3.2.1.21)	bgl lp_3629	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	461	lp_3629	52701	3.2.1.21			carbohydrate metabolic process [GO:0005975]		beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]; carbohydrate metabolic process [GO:0005975]	GO:0005975; GO:0008422; GO:0102483	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]	
F9ULH9	F9ULH9_LACPL	Bifunctional protien: transcription regulator sugar kinase, ROK family (EC 2.7.1.-)	lp_3630	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	292	lp_3630	30994	2.7.1.-			phosphorylation [GO:0016310]		kinase activity [GO:0016301]; phosphorylation [GO:0016310]	GO:0016301; GO:0016310	kinase activity [GO:0016301]	
F9ULI0	F9ULI0_LACPL	Alpha-mannosidase (Promiscuous) (EC 3.2.1.114, EC 3.2.1.24)	lp_3631	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	899	lp_3631	101855	3.2.1.114; 3.2.1.24			mannose metabolic process [GO:0006013]		carbohydrate binding [GO:0030246]; mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity [GO:0004572]; metal ion binding [GO:0046872]; mannose metabolic process [GO:0006013]	GO:0004572; GO:0006013; GO:0030246; GO:0046872	carbohydrate binding [GO:0030246]; mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity [GO:0004572]; metal ion binding [GO:0046872]	
F9ULI1	F9ULI1_LACPL	Glycosyl hydrolase, DUF336 family	lp_3632	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	429	lp_3632	48576				carbohydrate metabolic process [GO:0005975]; organic substance catabolic process [GO:1901575]		hydrolase activity [GO:0016787]; carbohydrate metabolic process [GO:0005975]; organic substance catabolic process [GO:1901575]	GO:0005975; GO:0016787; GO:1901575	hydrolase activity [GO:0016787]	
F9ULI2	F9ULI2_LACPL	Transcription regulator, GntR family	lp_3633	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	354	lp_3633	39377				DNA-templated transcription [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription [GO:0006351]	GO:0003677; GO:0003700; GO:0006351	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
F9ULI3	F9ULI3_LACPL	Alpha-1,2-mannosidase (EC 3.2.1.-)	lp_3634	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	715	lp_3634	80860	3.2.1.-			carbohydrate metabolic process [GO:0005975]		carbohydrate binding [GO:0030246]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; carbohydrate metabolic process [GO:0005975]	GO:0005975; GO:0016798; GO:0030246	carbohydrate binding [GO:0030246]; hydrolase activity, acting on glycosyl bonds [GO:0016798]	
F9ULI4	F9ULI4_LACPL	ABC transporter, ATP-binding protein, mannose related oligosaccharides	lp_3635	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	378	lp_3635	42409				carbohydrate transport [GO:0008643]	ATP-binding cassette (ABC) transporter complex [GO:0043190]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; carbohydrate transport [GO:0008643]	GO:0005524; GO:0008643; GO:0016887; GO:0043190; GO:0140359	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	
F9ULI5	F9ULI5_LACPL	Fructokinase (EC 2.7.1.4)	sacK2 lp_3637	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	287	lp_3637	30491	2.7.1.4					fructokinase activity [GO:0008865]	GO:0008865	fructokinase activity [GO:0008865]	
F9ULI7	F9ULI7_LACPL	Two-component system histidine protein kinase sensor protein	yesM lp_3639	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	570	lp_3639	64111					membrane [GO:0016020]	membrane [GO:0016020]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0016020	phosphorelay sensor kinase activity [GO:0000155]	
F9ULI8	F9ULI8_LACPL	Hypothetical membrane protein, DUF624 family	lp_3640	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	203	lp_3640	23903					membrane [GO:0016020]	membrane [GO:0016020]	GO:0016020		
F9ULI9	F9ULI9_LACPL	Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)	dexB lp_3641	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	541	lp_3641	61837	3.2.1.70			carbohydrate metabolic process [GO:0005975]		glucan 1,6-alpha-glucosidase activity [GO:0043896]; carbohydrate metabolic process [GO:0005975]	GO:0005975; GO:0043896	glucan 1,6-alpha-glucosidase activity [GO:0043896]	
F9ULJ0	F9ULJ0_LACPL	ABC transporter, substrate binding protein,mannose-related oligosaccharides	lp_3642	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	490	lp_3642	54101									
F9ULJ1	F9ULJ1_LACPL	ABC transporter, permease protein,mannose-related oligosaccharides	lp_3643	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	305	lp_3643	34240				transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0055085		SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9ULJ2	F9ULJ2_LACPL	ABC transporter, permease protein,mannose-related oligosaccharides	lp_3644	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	320	lp_3644	36624				transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0055085		SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
F9ULJ3	F9ULJ3_LACPL	Beta hexosamidase or lacto-N-biosidase or beta N-acetylglucosamidase (EC 3.2.1.-)	gcnA lp_3645	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	616	lp_3645	69713	3.2.1.-			carbohydrate metabolic process [GO:0005975]		beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]; carbohydrate metabolic process [GO:0005975]	GO:0004563; GO:0005975; GO:0102148	beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]	
F9ULJ4	F9ULJ4_LACPL	Transcription regulator, AraC family	lp_3646	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	275	lp_3646	31504				DNA-templated transcription [GO:0006351]		DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; DNA-templated transcription [GO:0006351]	GO:0003700; GO:0006351; GO:0043565	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	
F9ULJ5	F9ULJ5_LACPL	ABC transporter, ATP-binding and permease protein	lp_3647	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	582	lp_3647	65973					membrane [GO:0016020]	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016020; GO:0016887; GO:0140359	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
