Gene_ID,Start,End,Strand,Nr_ID,Nr_Description,Kegg_Gene_Name,Kegg_Definition,Kegg_EC,Kegg_Pathway,GO_ID,GO_terms,COG_ID,COG_Description,CAZy_Subject_ID,CAZy_activities,CAZy_note
1_233 ,245767,246018,-,WP_003641854.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_234 ,246319,247719,-,WP_003641855.1,MULTISPECIES: MFS transporter [Lactobacillus],--,--,--,--,GO:0016021,integral component of membrane,gnl|CDD|223553,"COG0477, ProP, Permeases of the major facilitator superfamily [Carbohydrate transport and metabolism / Amino acid transport and metabolism / Inorganic ion transport and metabolism / General function prediction only].",--,--,--
1_235 ,247811,248203,+,WP_003641856.1,MULTISPECIES: MerR family transcriptional regulator [Lactobacillus],--,--,--,--,GO:0003677,DNA binding,gnl|CDD|223860,"COG0789, SoxR, Predicted transcriptional regulators [Transcription].",--,--,--
1_236 ,248355,249731,-,WP_013355144.1,HAMP domain-containing histidine kinase [Lactobacillus plantarum],E2.7.3.-,,,,GO:0000155,phosphorelay sensor kinase activity,gnl|CDD|223715,"COG0642, BaeS, Signal transduction histidine kinase [Signal transduction mechanisms].",--,--,--
1_237 ,249718,250422,-,WP_013355145.1,MULTISPECIES: response regulator transcription factor [Lactobacillus],--,--,--,--,GO:0000160,phosphorelay signal transduction system,gnl|CDD|223816,"COG0745, OmpR, Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain [Signal transduction mechanisms / Transcription].",ABS01822.1,"cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenolÃ¯Â¿Â½mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)","Distant similarity to families GT12, GT21, GT27, GT55, GT81 etc."
1_238 ,250588,250875,+,ERO41804.1,hypothetical protein LPLWJ_10830 [Lactobacillus plantarum WJL],--,--,--,--,--,--,--,--,--,--,--
1_239 ,250956,251687,+,WP_003641860.1,MULTISPECIES: MurR/RpiR family transcriptional regulator [Lactobacillus],--,--,--,--,GO:0003677,DNA binding,gnl|CDD|224651,"COG1737, RpiR, Transcriptional regulators [Transcription].",--,--,--
1_240 ,251989,253314,+,WP_013355147.1,PTS cellobiose transporter subunit IIC [Lactobacillus plantarum],"PTS-Cel-EIIC, celB, chbC","PTS system, cellobiose-specific IIC component",--,ko00500 Starch and sucrose metabolism;ko02060 Phosphotransferase system (PTS);,GO:0008982,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,gnl|CDD|224372,"COG1455, CelB, Phosphotransferase system cellobiose-specific component IIC [Carbohydrate transport and metabolism].",--,--,--
1_241 ,253467,253778,-,WP_003641862.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_242 ,254007,254261,+,WP_003641863.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_243 ,254416,255447,-,WP_003643716.1,MULTISPECIES: LytR family transcriptional regulator [Lactobacillus],--,--,--,--,--,--,gnl|CDD|224235,"COG1316, LytR, Transcriptional regulator [Transcription].",--,--,--
1_244 ,255720,257114,+,WP_022638098.1,FAD-binding protein [Lactobacillus plantarum],glcD,glycolate oxidase ,EC:1.1.3.15,ko00630 Glyoxylate and dicarboxylate metabolism;,GO:0003824,catalytic activity,gnl|CDD|223354,"COG0277, GlcD, FAD/FMN-containing dehydrogenases [Energy production and conversion].",CEF88561.1,nan,nan
1_245 ,257279,257566,+,WP_003646406.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_246 ,257611,258303,+,WP_114684717.1,GTP pyrophosphokinase family protein [Lactobacillus plantarum],E2.7.6.5X,putative GTP pyrophosphokinase ,EC:2.7.6.5,ko00230 Purine metabolism;,GO:0015969,guanosine tetraphosphate metabolic process,gnl|CDD|225232,"COG2357, COG2357, PpGpp synthetase catalytic domain [General function prediction only].",--,--,--
1_247 ,258559,259131,-,WP_003643718.1,MULTISPECIES: TetR/AcrR family transcriptional regulator [Lactobacillus],--,--,--,--,GO:0003677,DNA binding,gnl|CDD|224228,"COG1309, AcrR, Transcriptional regulator [Transcription].",--,--,--
1_248 ,259312,263265,+,WP_013355149.1,transporter [Lactobacillus plantarum],K06994,putative drug exporter of the RND superfamily,--,,GO:0016020,membrane,gnl|CDD|225272,"COG2409, COG2409, Predicted drug exporters of the RND superfamily [General function prediction only].",--,--,--
1_249 ,263445,264008,+,WP_003643720.1,MULTISPECIES: DNA-3-methyladenine glycosylase I [Lactobacillus],tag,DNA-3-methyladenine glycosylase I ,EC:3.2.2.20,ko03410 Base excision repair;,GO:0003824,catalytic activity,gnl|CDD|225374,"COG2818, Tag, 3-methyladenine DNA glycosylase [DNA replication, recombination, and repair].",--,--,--
1_250 ,264250,266307,+,WP_022638099.1,hypothetical protein [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_251 ,266630,268108,+,WP_013355151.1,ABC transporter permease [Lactobacillus plantarum],ABC.CD.P,putative ABC transport system permease protein,--,,GO:0016020,membrane,gnl|CDD|223650,"COG0577, SalY, ABC-type antimicrobial peptide transport system, permease component [Defense mechanisms].",--,--,--
1_252 ,268120,268779,+,WP_003641873.1,MULTISPECIES: ABC transporter ATP-binding protein [Lactobacillus],ABC.CD.A,putative ABC transport system ATP-binding protein,--,,GO:0005524,ATP binding,gnl|CDD|224059,"COG1136, SalX, ABC-type antimicrobial peptide transport system, ATPase component [Defense mechanisms].",ACL49294.1,"sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); GDP-Man alpha-mannosyltransferase (EC 2.4.1.-); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157);  diglucosyl diacylglycerol synthase (EC 2.4.1.208); digalactosyldiacylglycerol synthase (EC 2.4.1.141); trehalose phosphorylase (EC 2.4.1.231); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-)",nan
1_253 ,268908,269669,-,WP_011100955.1,CPBP family intramembrane metalloprotease [Lactobacillus plantarum],K07052,uncharacterized protein,--,,GO:0016020,membrane,gnl|CDD|224185,"COG1266, COG1266, Predicted metal-dependent membrane protease [General function prediction only].",--,--,--
1_254 ,269765,270484,-,WP_058906753.1,CPBP family intramembrane metalloprotease [Lactobacillus plantarum],K07052,uncharacterized protein,--,,GO:0016020,membrane,gnl|CDD|224185,"COG1266, COG1266, Predicted metal-dependent membrane protease [General function prediction only].",--,--,--
1_255 ,270606,271409,-,WP_013355152.1,MULTISPECIES: LysM domain-containing protein [Lactobacillus],--,--,--,--,--,--,gnl|CDD|224306,"COG1388, LytE, FOG: LysM repeat [Cell envelope biogenesis, outer membrane].",ANM73632.1,"Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.",Also known as LysM domains
1_256 ,272466,273101,-,WP_013355153.1,LysM domain-containing protein [Lactobacillus plantarum],--,--,--,--,--,--,--,--,ALV13496.1,"Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.",Also known as LysM domains
1_257 ,273506,273880,-,KPL56299.1,glycine cleavage system protein H [Lactobacillus plantarum 2025],"gcvH, GCSH",glycine cleavage system H protein,--,"ko00260 Glycine, serine and threonine metabolism;ko00630 Glyoxylate and dicarboxylate metabolism;",--,--,gnl|CDD|223583,"COG0509, GcvH, Glycine cleavage system H protein (lipoate-binding) [Amino acid transport and metabolism].",--,--,--
1_258 ,273890,274807,-,WP_064578417.1,hypothetical protein [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_259 ,274804,275520,-,WP_003641880.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_260 ,275520,277889,-,WP_013355155.1,ATP-dependent DNA helicase [Lactobacillus plantarum],--,--,--,--,GO:0003676,nucleic acid binding,gnl|CDD|224120,"COG1199, DinG, Rad3-related DNA helicases [Transcription / DNA replication, recombination, and repair].",--,--,--
1_261 ,278309,278671,-,WP_003646418.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_262 ,278860,280056,+,WP_013355156.1,acetate kinase [Lactobacillus plantarum],ackA,acetate kinase ,EC:2.7.2.1,ko00430 Taurine and hypotaurine metabolism;ko00620 Pyruvate metabolism;ko00640 Propanoate metabolism;ko00680 Methane metabolism;ko00720 Carbon fixation pathways in prokaryotes;ko01200 Carbon metabolism;,GO:0005622,intracellular,gnl|CDD|223359,"COG0282, ackA, Acetate kinase [Energy production and conversion].",--,--,--
1_263 ,280183,280626,-,WP_015825093.1,GNAT family N-acetyltransferase [Lactobacillus plantarum],elaA,ElaA protein,--,,--,--,gnl|CDD|225064,"COG2153, ElaA, Predicted acyltransferase [General function prediction only].",--,--,--
1_264 ,280700,281122,+,WP_003641885.1,MULTISPECIES: MarR family transcriptional regulator [Lactobacillus],--,--,--,--,GO:0003700,DNA-binding transcription factor activity,gnl|CDD|224759,"COG1846, MarR, Transcriptional regulators [Transcription].",--,--,--
1_265 ,281311,282513,+,WP_011100962.1,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Lactobacillus],ndh,NADH dehydrogenase ,EC:1.6.99.3,ko00190 Oxidative phosphorylation;,GO:0016491,oxidoreductase activity,gnl|CDD|224172,"COG1252, Ndh, NADH dehydrogenase, FAD-containing subunit [Energy production and conversion].",--,--,--
1_266 ,282708,282977,+,WP_003641887.1,hypothetical protein [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_267 ,283218,283562,+,WP_003641888.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_268 ,283601,284158,+,WP_003641889.1,MULTISPECIES: helix-turn-helix domain-containing protein [Lactobacillus],--,--,--,--,GO:0003677,DNA binding,gnl|CDD|225495,"COG2944, COG2944, Predicted transcriptional regulator [Transcription].",--,--,--
1_269 ,284158,284586,+,WP_003641890.1,MULTISPECIES: preprotein translocase subunit SecB [Lactobacillus],secB,preprotein translocase subunit SecB,--,ko02024 Quorum sensing;ko03060 Protein export;ko03070 Bacterial secretion system;,GO:0015031,protein transport,gnl|CDD|224863,"COG1952, SecB, Preprotein translocase subunit SecB [Intracellular trafficking and secretion].",--,--,--
1_270 ,285079,286149,-,WP_003641891.1,MULTISPECIES: ABC transporter substrate-binding protein [Lactobacillus],potD,spermidine/putrescine transport system substrate-binding protein,--,ko02010 ABC transporters;,GO:0015846,polyamine transport,gnl|CDD|223759,"COG0687, PotD, Spermidine/putrescine-binding periplasmic protein [Amino acid transport and metabolism].",--,--,--
1_271 ,286146,286961,-,WP_003641892.1,MULTISPECIES: ABC transporter permease [Lactobacillus],potC,spermidine/putrescine transport system permease protein,--,ko02010 ABC transporters;,GO:0016020,membrane,gnl|CDD|224098,"COG1177, PotC, ABC-type spermidine/putrescine transport system, permease component II [Amino acid transport and metabolism].",--,--,--
1_272 ,286961,287794,-,WP_003641893.1,MULTISPECIES: ABC transporter permease [Lactobacillus],potB,spermidine/putrescine transport system permease protein,--,ko02010 ABC transporters;,GO:0016020,membrane,gnl|CDD|224097,"COG1176, PotB, ABC-type spermidine/putrescine transport system, permease component I [Amino acid transport and metabolism].",--,--,--
1_273 ,287806,288903,-,WP_003641894.1,ABC transporter ATP-binding protein [Lactobacillus plantarum],potA,spermidine/putrescine transport system ATP-binding protein ,EC:3.6.3.31,ko02010 ABC transporters;,GO:0005524,ATP binding,gnl|CDD|226361,"COG3842, PotA, ABC-type spermidine/putrescine transport systems, ATPase components [Amino acid transport and metabolism].",ACL49294.1,"sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); GDP-Man alpha-mannosyltransferase (EC 2.4.1.-); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157);  diglucosyl diacylglycerol synthase (EC 2.4.1.208); digalactosyldiacylglycerol synthase (EC 2.4.1.141); trehalose phosphorylase (EC 2.4.1.231); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-)",nan
1_274 ,288974,289516,-,KRL36088.1,cro CI family transcriptional regulator [Lactobacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437],--,--,--,--,GO:0003677,DNA binding,gnl|CDD|224314,"COG1396, HipB, Predicted transcriptional regulators [Transcription].",--,--,--
1_275 ,289857,290324,-,ADN97491.1,hypothetical protein LPST_C0267 [Lactobacillus plantarum subsp. plantarum ST-III],--,--,--,--,--,--,gnl|CDD|226838,"COG4405, COG4405, Uncharacterized protein conserved in bacteria [Function unknown].",--,--,--
1_276 ,290510,290995,+,WP_003641897.1,MULTISPECIES: N-acetyltransferase [Lactobacillus],--,--,--,--,--,--,gnl|CDD|223532,"COG0456, RimI, Acetyltransferases [General function prediction only].",--,--,--
1_277 ,290999,291526,+,WP_013355160.1,GNAT family N-acetyltransferase [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_278 ,291620,291805,+,KZU80413.1,hypothetical protein Nizo3892_2561 [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_279 ,292066,292419,+,WP_003641900.1,MULTISPECIES: GntR family transcriptional regulator [Lactobacillus],ytrA,GntR family transcriptional regulator,--,,GO:0003700,DNA-binding transcription factor activity,gnl|CDD|224639,"COG1725, COG1725, Predicted transcriptional regulators [Transcription].",--,--,--
1_280 ,292419,293312,+,WP_003641901.1,MULTISPECIES: ABC transporter ATP-binding protein [Lactobacillus],ABC-2.A,ABC-2 type transport system ATP-binding protein,--,,GO:0005524,ATP binding,gnl|CDD|224054,"COG1131, CcmA, ABC-type multidrug transport system, ATPase component [Defense mechanisms].",BAV03462.1,"Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.",Also known as LysM domains
1_281 ,293325,294338,+,WP_003641902.1,acetoin ABC transporter permease [Lactobacillus plantarum],--,--,--,--,--,--,gnl|CDD|223553,"COG0477, ProP, Permeases of the major facilitator superfamily [Carbohydrate transport and metabolism / Amino acid transport and metabolism / Inorganic ion transport and metabolism / General function prediction only].",--,--,--
1_282 ,294444,295811,-,WP_003641903.1,MULTISPECIES: aldehyde dehydrogenase family protein [Lactobacillus],adhE,acetaldehyde dehydrogenase / alcohol dehydrogenase ,EC:1.2.1.10 1.1.1.1,ko00010 Glycolysis / Gluconeogenesis;ko00071 Fatty acid degradation;ko00350 Tyrosine metabolism;ko00620 Pyruvate metabolism;ko00625 Chloroalkane and chloroalkene degradation;ko00626 Naphthalene degradation;ko00650 Butanoate metabolism;ko01220 Degradation of aromatic compounds;,GO:0016491,oxidoreductase activity,gnl|CDD|223944,"COG1012, PutA, NAD-dependent aldehyde dehydrogenases [Energy production and conversion].",--,--,--
1_283 ,296237,297100,+,WP_003641904.1,"MULTISPECIES: class II fructose-1,6-bisphosphate aldolase [Lactobacillus]","FBA, fbaA","fructose-bisphosphate aldolase, class II ",EC:4.1.2.13,ko00010 Glycolysis / Gluconeogenesis;ko00030 Pentose phosphate pathway;ko00051 Fructose and mannose metabolism;ko00680 Methane metabolism;ko00710 Carbon fixation in photosynthetic organisms;ko01200 Carbon metabolism;ko01230 Biosynthesis of amino acids;,GO:0003824,catalytic activity,gnl|CDD|223269,"COG0191, Fba, Fructose/tagatose bisphosphate aldolase [Carbohydrate transport and metabolism].",--,--,--
1_284 ,297287,298549,+,WP_013355194.1,MULTISPECIES: ISL3-like element ISP1 family transposase [Lactobacillus],--,--,--,--,--,--,gnl|CDD|225995,"COG3464, COG3464, Transposase and inactivated derivatives [DNA replication, recombination, and repair].",--,--,--
1_285 ,298546,298716,+,ALC07500.1,hypothetical protein JM48_0285 [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_286 ,298834,300150,-,WP_003643745.1,MULTISPECIES: MFS transporter [Lactobacillus],--,--,--,--,GO:0005215,transporter activity,gnl|CDD|225121,"COG2211, MelB, Na+/melibiose symporter and related transporters [Carbohydrate transport and metabolism].",AJC46896.1,"beta-xylosidase (EC 3.2.1.37); beta-1,3-xylosidase (EC 3.2.1.-); alpha-L-arabinofuranosidase (EC 3.2.1.55); arabinanase (EC 3.2.1.99); xylanase (EC 3.2.1.8); galactan 1,3-beta-galactosidase  (EC 3.2.1.145)",nan
1_287 ,300320,301222,-,WP_003643746.1,MULTISPECIES: SPFH/Band 7/PHB domain protein [Lactobacillus],--,--,--,--,GO:0016020,membrane,gnl|CDD|223407,"COG0330, HflC, Membrane protease subunits, stomatin/prohibitin homologs [Posttranslational modification, protein turnover, chaperones].",--,--,--
1_288 ,301235,301435,-,WP_013355164.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_289 ,302118,303530,+,WP_013355165.1,MULTISPECIES: C69 family dipeptidase [Lactobacillus],"pepDA, pepDB",dipeptidase ,EC:3.4.-.-,,GO:0006508,proteolysis,gnl|CDD|227034,"COG4690, PepD, Dipeptidase [Amino acid transport and metabolism].",--,--,--
1_290 ,303596,303841,+,WP_003641910.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_291 ,303967,304533,+,AGE38068.1,Biotin transporter [Lactobacillus plantarum ZJ316],bioY,biotin transport system substrate-specific component,--,ko02010 ABC transporters;,GO:0005886,plasma membrane,gnl|CDD|224187,"COG1268, BioY, Uncharacterized conserved protein [General function prediction only].",--,--,--
1_292 ,304571,305542,+,WP_013355166.1,MULTISPECIES: biotin--[acetyl-CoA-carboxylase] ligase [Lactobacillus],birA,"BirA family transcriptional regulator, biotin operon repressor / biotin-acetyl-CoA-carboxylase ligase ",EC:6.3.4.15,ko00780 Biotin metabolism;,GO:0004077,biotin-[acetyl-CoA-carboxylase] ligase activity,gnl|CDD|223417,"COG0340, BirA, Biotin-(acetyl-CoA carboxylase) ligase [Coenzyme metabolism].",--,--,--
1_293 ,305539,305853,+,WP_027821525.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,GO:0008270,zinc ion binding,gnl|CDD|226801,"COG4357, COG4357, Zinc finger domain containing protein (CHY type) [Function unknown].",--,--,--
1_294 ,305960,307189,+,KZU25690.1,Glutamine-dependent 2-keto-4-methylthiobutyratetransaminase [Lactobacillus plantarum],"mtnE, mtnV",aminotransferase ,EC:2.6.1.-,ko00270 Cysteine and methionine metabolism;,GO:0003824,catalytic activity,gnl|CDD|223513,"COG0436, COG0436, Aspartate/tyrosine/aromatic aminotransferase [Amino acid transport and metabolism].",--,--,--
1_295 ,307365,308531,-,WP_011100969.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_296 ,309126,309941,+,WP_003641920.1,MULTISPECIES: ABC transporter permease [Lactobacillus],tagG,teichoic acid transport system permease protein,--,ko02010 ABC transporters;,GO:0016020,membrane,gnl|CDD|224596,"COG1682, TagG, ABC-type polysaccharide/polyol phosphate export systems, permease component [Carbohydrate transport and metabolism / Cell envelope biogenesis, outer membrane].",--,--,--
1_297 ,309954,311045,+,WP_003641921.1,MULTISPECIES: ABC transporter ATP-binding protein [Lactobacillus],tagH,teichoic acid transport system ATP-binding protein ,EC:3.6.3.40,ko02010 ABC transporters;,GO:0005524,ATP binding,gnl|CDD|224057,"COG1134, TagH, ABC-type polysaccharide/polyol phosphate transport system, ATPase component [Carbohydrate transport and metabolism / Cell envelope biogenesis, outer membrane].",BAV03462.1,"Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.",Also known as LysM domains
1_298 ,311424,311696,+,WP_003641922.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_299 ,311923,312465,+,KRL36060.1,transcription regulator [Lactobacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437],--,--,--,--,--,--,gnl|CDD|224609,"COG1695, COG1695, Predicted transcriptional regulators [Transcription].",--,--,--
1_300 ,312462,313907,+,WP_011100971.1,DHA2 family efflux MFS transporter permease subunit [Lactobacillus plantarum],--,--,--,--,GO:0016021,integral component of membrane,gnl|CDD|223553,"COG0477, ProP, Permeases of the major facilitator superfamily [Carbohydrate transport and metabolism / Amino acid transport and metabolism / Inorganic ion transport and metabolism / General function prediction only].",--,--,--
1_301 ,314237,315553,-,WP_011100972.1,MULTISPECIES: ammonium transporter [Lactobacillus],"amt, AMT, MEP","ammonium transporter, Amt family",--,,GO:0008519,ammonium transmembrane transporter activity,gnl|CDD|223083,"COG0004, AmtB, Ammonia permease [Inorganic ion transport and metabolism].",--,--,--
1_302 ,316048,317007,+,WP_011100973.1,MULTISPECIES: L-lactate dehydrogenase [Lactobacillus],"LDH, ldh",L-lactate dehydrogenase ,EC:1.1.1.27,ko00010 Glycolysis / Gluconeogenesis;ko00270 Cysteine and methionine metabolism;ko00620 Pyruvate metabolism;ko00640 Propanoate metabolism;ko04922 Glucagon signaling pathway;,GO:0003824,catalytic activity,gnl|CDD|223117,"COG0039, Mdh, Malate/lactate dehydrogenases [Energy production and conversion].",--,--,--
1_303 ,317110,317379,+,WP_003641927.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_304 ,317610,318173,-,WP_003643762.1,MULTISPECIES: matrixin family metalloprotease [Lactobacillus],--,--,--,--,GO:0004222,metalloendopeptidase activity,gnl|CDD|227836,"COG5549, COG5549, Predicted Zn-dependent protease [Posttranslational modification, protein turnover, chaperones].",--,--,--
1_305 ,318367,319035,+,WP_013355171.1,ribose 5-phosphate isomerase A [Lactobacillus plantarum],rpiA,ribose 5-phosphate isomerase A ,EC:5.3.1.6,ko00030 Pentose phosphate pathway;ko00710 Carbon fixation in photosynthetic organisms;ko01200 Carbon metabolism;ko01230 Biosynthesis of amino acids;,GO:0004751,ribose-5-phosphate isomerase activity,gnl|CDD|223198,"COG0120, RpiA, Ribose 5-phosphate isomerase [Carbohydrate transport and metabolism].",--,--,--
1_306 ,319193,320698,+,WP_013355172.1,MULTISPECIES: multicopper oxidase [Lactobacillus],--,--,--,--,GO:0005507,copper ion binding,gnl|CDD|225043,"COG2132, SufI, Putative multicopper oxidases [Secondary metabolites biosynthesis, transport, and catabolism].",--,--,--
1_307 ,320963,321331,+,WP_013355173.1,MULTISPECIES: DUF1304 domain-containing protein [Lactobacillus],K08987,putative membrane protein,--,,--,--,gnl|CDD|226282,"COG3759, COG3759, Predicted membrane protein [Function unknown].",--,--,--
1_308 ,321444,321953,-,WP_003641932.1,MULTISPECIES: YbhB/YbcL family Raf kinase inhibitor-like protein [Lactobacillus],K06910,uncharacterized protein,--,,--,--,gnl|CDD|224793,"COG1881, COG1881, Phospholipid-binding protein [General function prediction only].",--,--,--
1_309 ,321984,323180,-,WP_013355174.1,MULTISPECIES: DUF2075 domain-containing protein [Lactobacillus],K09384,uncharacterized protein,--,,--,--,gnl|CDD|225944,"COG3410, COG3410, Uncharacterized conserved protein [Function unknown].",--,--,--
1_310 ,323290,323760,+,WP_003646440.1,MULTISPECIES: transcriptional regulator [Lactobacillus],--,--,--,--,--,--,gnl|CDD|224870,"COG1959, COG1959, Predicted transcriptional regulator [Transcription].",--,--,--
1_311 ,323779,324234,+,WP_003641935.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_312 ,324338,324910,+,WP_013355176.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxyl carrier protein subunit [Lactobacillus],"accB, bccP",acetyl-CoA carboxylase biotin carboxyl carrier protein,--,ko00061 Fatty acid biosynthesis;ko00620 Pyruvate metabolism;ko00640 Propanoate metabolism;ko00720 Carbon fixation pathways in prokaryotes;ko01200 Carbon metabolism;ko01212 Fatty acid metabolism;,GO:0003989,acetyl-CoA carboxylase activity,gnl|CDD|223585,"COG0511, AccB, Biotin carboxyl carrier protein [Lipid metabolism].",--,--,--
1_313 ,325076,325996,-,WP_013355177.1,ribonucleoside hydrolase RihC [Lactobacillus plantarum],rihC,non-specific riboncleoside hydrolase ,EC:3.2.-.-,,--,--,gnl|CDD|224868,"COG1957, URH1, Inosine-uridine nucleoside N-ribohydrolase [Nucleotide transport and metabolism].",--,--,--
1_314 ,326133,327044,+,KRN37839.1,short chain dehydrogenase reductase family oxidoreductase [Lactobacillus plantarum],--,--,--,--,--,--,gnl|CDD|223377,"COG0300, DltE, Short-chain dehydrogenases of various substrate specificities [General function prediction only].",--,--,--
1_315 ,328475,330001,+,WP_003641940.1,MULTISPECIES: ABC transporter permease/substrate-binding protein [Lactobacillus],opuC,osmoprotectant transport system substrate-binding protein,--,ko02010 ABC transporters;,GO:0016020,membrane,gnl|CDD|224646,"COG1732, OpuBC, Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein) [Cell envelope biogenesis, outer membrane].",--,--,--
1_316 ,330002,330973,+,WP_003641941.1,MULTISPECIES: ABC transporter ATP-binding protein [Lactobacillus],opuA,osmoprotectant transport system ATP-binding protein,--,ko02010 ABC transporters;,GO:0005524,ATP binding,gnl|CDD|224050,"COG1125, OpuBA, ABC-type proline/glycine betaine transport systems, ATPase components [Amino acid transport and metabolism].",--,--,--
